name,sector,is_ai,revenue_mil_y2015,revenue_mil_y2016,revenue_mil_y2017,revenue_mil_y2018,revenue_mil_y2019,revenue_mil_y2020,revenue_mil_y2021,revenue_mil_y2022,revenue_mil_y2023,employees_y2015,employees_y2016,employees_y2017,employees_y2018,employees_y2019,employees_y2020,employees_y2021,employees_y2022,employees_y2023
KBR,Engineering & Construction,Non Ai,6366,6366,6366,6366,6366,6366,6852.5,7339,7705.95,25000,25000,25000,,25000,25000,26500,26500,28000
Kellogg,"Food, Beverages & Tobacco",Non Ai,14580,13525,13014,12923,13547,13578,13879.5,14181,14890.05,29790,33577,37369,32944,34000,31000,31000,31250,30000
Kelly Services,Business Services,Non Ai,5563,5518,5277,5277,5277,5277,5277,5277,5540.85,8300,8100,7500,7500,7500,7500,7500,7500,7500
Keurig Dr Pepper,"Food, Beverages & Tobacco",Non Ai,7442,7442,7442,7442,7442,11120,11901.5,12683,13317.15,25500,25500,25500,25500,25500,25500,26500,26750,28000
KeyCorp,Financials,Non Ai,5422,5422,5422,6868,7393,7694,7627.5,7561,7939.05,15700,15700,15700,18415,18180,17045,17009.5,17636.25,17660
Kimberly-Clark,Household Products,Non Ai,21044,18591,18202,18259,18259,18450,18945,19440,20412,43000,43000,42000,42000,41000,40000,42500,42250,44000
Kinder Morgan,Energy,Non Ai,16226,14403,13058,13705,14144,13209,12454.5,11700,12285,11535,11290,11121,10897,11012,11086,10807.5,10787,10525
Kindred Healthcare,Health Care,Non Ai,5325,7098,7227,6768,6768,6768,6768,6768,7106.4,50100,77800,76650,64200,64200,64200,64200,64200,64200
KKR,Financials,Non Ai,7786,7786,7786,5930,5930,9120,17630.5,26141,27448.05,1209,1196,1196,1184,,1384,2311,3228,4150
KLA,Technology,Ai,5806,6000.63,6234.18,6506.66,6818.07,7168.4,7713.36,8394.56,9212,10100,10100,10302,10600,10812,10974,11061,11182,11237
Knight-Swift Transportation Holdings,Transportation,Non Ai,7429,7429,7429,7429,7429,7429,7429,7429,7800.45,28300,28300,28300,28300,28300,28300,28300,28300,28300
Kohl's,Retailing,Non Ai,19023,19204,18686,19095,20229,19974,19703.5,19433,20404.65,84500,86000,85000,85000,81500,79500,73250,73500,66500
Kraft Foods Group,"Food, Beverages & Tobacco",Non Ai,18205,18205,18205,18205,18205,18205,18205,18205,19115.25,22100,22100,22100,22100,22100,22100,22100,22100,22100
Kraft Heinz,"Food, Beverages & Tobacco",Non Ai,18338,18338,26487,26232,26259,24977,25509.5,26042,27344.1,,42000,41000,39000,39000,37000,36500,37500,37000
Kroger,Food & Drug Stores,Non Ai,108465,109830,115337,122662,121162,122286,130087,137888,144782.4,400000,431000,443000,449000,453000,435000,427500,437000,430000
Kumo.AI,Data & Analytics,Ai,0,0,0,0,0,0,1.85,2.03,2.23,0,0,0,0,0,0,0,0,0
